analysis,model,feature,importance_mean,importance_sd
mutation_stability_classifier_strict_neutral_excluded,random_forest,delta_mass,0.16104437229437224,0.005379674075784943
mutation_stability_classifier_strict_neutral_excluded,random_forest,blosum62_score,0.10370707070707066,0.006513378623365053
mutation_stability_classifier_strict_neutral_excluded,random_forest,delta_hydropathy,0.10325865800865794,0.004401885540008103
mutation_stability_classifier_strict_neutral_excluded,random_forest,delta_charge,0.048460317460317405,0.0019208852748258188
mutation_stability_classifier_strict_neutral_excluded,random_forest,relative_mutation_position,0.025196248196248126,0.002451012765406684
mutation_stability_classifier_strict_neutral_excluded,random_forest,mutation_position,0.021418470418470337,0.001999407446124255
mutation_stability_classifier_strict_neutral_excluded,random_forest,gravy,0.01702994227994219,0.0022112810078096764
mutation_stability_classifier_strict_neutral_excluded,random_forest,instability_index,0.013576839826839748,0.002963765440880775
mutation_stability_classifier_strict_neutral_excluded,random_forest,aromaticity,0.012158369408369318,0.0021578347285588213
mutation_stability_classifier_strict_neutral_excluded,random_forest,protein_length,0.011833694083693991,0.002760210515537294
mutation_stability_classifier_strict_neutral_excluded,random_forest,sheet_fraction,0.010440476190476078,0.0013507778811205995
mutation_stability_classifier_strict_neutral_excluded,random_forest,sequence_length,0.009350649350649286,0.0023182782071473423
mutation_stability_classifier_strict_neutral_excluded,random_forest,helix_fraction,0.008867604617604542,0.0022026544970304885
mutation_stability_classifier_strict_neutral_excluded,random_forest,theoretical_pi,0.006666666666666576,0.0008977582770073755
mutation_stability_classifier_strict_neutral_excluded,random_forest,length,0.006581529581529466,0.0022647907647908028
mutation_stability_classifier_strict_neutral_excluded,random_forest,isoelectric_point,0.005978715728715689,0.0009626294694109741
mutation_stability_classifier_strict_neutral_excluded,random_forest,class_changed,0.0018376623376622492,0.0011038338550198765
mutation_stability_classifier_strict_neutral_excluded,random_forest,source,0.0016327561327560192,0.0007139142999261432
mutation_stability_classifier_strict_neutral_excluded,random_forest,foldx_structure_branch,0.0005216450216448898,0.0006661755295009744
mutation_stability_classifier_strict_neutral_excluded,random_forest,organism_type,0.00032070707070694924,0.0004060924364813151
mutation_stability_classifier_strict_neutral_excluded,random_forest,structure_branch,0.00027813852813840523,0.0006412254197048447
mutation_stability_classifier_strict_neutral_excluded,random_forest,gh_family,-0.00032467532467537195,0.0003037059567187083
