analysis,model,feature,importance_mean,importance_sd
wt_foldx_energy_per_residue_regression,random_forest,hbond_proxy_count,0.8045623861038825,0.023757251173261426
wt_foldx_energy_per_residue_regression,random_forest,sasa_total,0.18175546968806594,0.006122537651076903
wt_foldx_energy_per_residue_regression,random_forest,salt_bridge_count,0.11977241418303461,0.006636648759197642
wt_foldx_energy_per_residue_regression,random_forest,foldx_structure_branch,0.1130987090543871,0.00236114159810475
wt_foldx_energy_per_residue_regression,random_forest,structure_branch,0.10487002910615453,0.0022873283296112163
wt_foldx_energy_per_residue_regression,random_forest,source,0.1003848843098886,0.0023656260400023985
wt_foldx_energy_per_residue_regression,random_forest,sheet_fraction,0.06563006399584416,0.0036659469537063958
wt_foldx_energy_per_residue_regression,random_forest,helix_fraction,0.04888916656802014,0.0014303554529647494
wt_foldx_energy_per_residue_regression,random_forest,chain_length,0.04840223254913824,0.0012124164145371418
wt_foldx_energy_per_residue_regression,random_forest,instability_index,0.04383183184065599,0.0011575690448861415
wt_foldx_energy_per_residue_regression,random_forest,aromaticity,0.03276900049554127,0.002275119701325056
wt_foldx_energy_per_residue_regression,random_forest,gravy,0.02914082219229337,0.0013820147681977853
wt_foldx_energy_per_residue_regression,random_forest,turn_fraction,0.026099314117676475,0.0011057609200128958
wt_foldx_energy_per_residue_regression,random_forest,isoelectric_point,0.018923667968135643,0.0009845183062193589
wt_foldx_energy_per_residue_regression,random_forest,theoretical_pi,0.017968058562217386,0.0010571775041241514
wt_foldx_energy_per_residue_regression,random_forest,disulfide_count,0.01475994587686703,0.001957107442006704
wt_foldx_energy_per_residue_regression,random_forest,length,0.012444850066198809,0.0007066366072883992
wt_foldx_energy_per_residue_regression,random_forest,sequence_length,0.012201615836037794,0.0004821129663698847
wt_foldx_energy_per_residue_regression,random_forest,protein_length,0.01148663661414721,0.00047527710583362184
wt_foldx_energy_per_residue_regression,random_forest,organism_type,0.004594457016071423,0.0005316885406272647
wt_foldx_energy_per_residue_regression,random_forest,gh_family,0.0015744951882583624,0.0001449171994035863
