uniprot_accession,organism_type,gh_family,organism,structure_source,pdb_id,structure_file
A0A0S2I9J6,bacterial,GH10,Massilia sp. RBM26,pdb,9UPA,data/structures/pdb/9UPA.pdb
A0A4V8GZQ8,bacterial,GH10,Anaerocellum danielii,pdb,6D5C,data/structures/pdb/6D5C.pdb
A3DH97,bacterial,GH10,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),pdb,8HER,data/structures/pdb/8HER.pdb
A5IL00,bacterial,GH10,Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1),pdb,3NIY,data/structures/pdb/3NIY.pdb
A5IL00,bacterial,GH10,Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1),pdb,3NJ3,data/structures/pdb/3NJ3.pdb
B3CET4,bacterial,GH10,Bacteroides intestinalis DSM 17393,pdb,4MGS,data/structures/pdb/4MGS.pdb
B3CET4,bacterial,GH10,Bacteroides intestinalis DSM 17393,pdb,4QPW,data/structures/pdb/4QPW.pdb
B4XVN1,bacterial,GH10,Streptomyces sp,pdb,3WUB,data/structures/pdb/3WUB.pdb
B4XVN1,bacterial,GH10,Streptomyces sp,pdb,3WUE,data/structures/pdb/3WUE.pdb
B4XVN1,bacterial,GH10,Streptomyces sp,pdb,3WUF,data/structures/pdb/3WUF.pdb
B4XVN1,bacterial,GH10,Streptomyces sp,pdb,3WUG,data/structures/pdb/3WUG.pdb
B9MMA5,bacterial,GH10,Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320) (Anaerocellum thermophilum),pdb,4L4O,data/structures/pdb/4L4O.pdb
B9MMA5,bacterial,GH10,Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320) (Anaerocellum thermophilum),pdb,4L4P,data/structures/pdb/4L4P.pdb
