uniprot_accession,organism_type,organism,gh_family,refseq_acc,fasta_path,fetch_url,fetch_status,fetch_error,sequence_length
B0C274,bacterial,Acaryochloris marina (strain MBIC 11017),GH10,WP_012163922.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012163922.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012163922.1&rettype=fasta&retmode=text,downloaded,,532
D1BKV8,bacterial,Sanguibacter keddieii (strain ATCC 51767 / DSM 10542 / NCFB 3025 / ST-74),GH10,WP_012867654.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012867654.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012867654.1&rettype=fasta&retmode=text,downloaded,,566
E4N6Z2,bacterial,Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae),GH10,WP_014134291.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_014134291.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_014134291.1&rettype=fasta&retmode=text,downloaded,,488
E4S4K4,bacterial,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),GH10,WP_013433135.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013433135.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013433135.1&rettype=fasta&retmode=text,downloaded,,407
E4QDJ6,bacterial,Caldicellulosiruptor hydrothermalis (strain DSM 18901 / VKM B-2411 / 108),GH10,WP_013403767.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013403767.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013403767.1&rettype=fasta&retmode=text,downloaded,,407
Q89T09,bacterial,Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),GH10,WP_011085029.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011085029.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011085029.1&rettype=fasta&retmode=text,downloaded,,355
B8HDP0,bacterial,Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus),GH10,WP_015937954.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015937954.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015937954.1&rettype=fasta&retmode=text,downloaded,,561
C7Q386,bacterial,Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908),GH10,WP_015793551.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015793551.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015793551.1&rettype=fasta&retmode=text,downloaded,,778
D5KTJ5,bacterial,Cohnella laeviribosi,GH10,WP_429806670.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_429806670.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_429806670.1&rettype=fasta&retmode=text,downloaded,,340
D5UL25,bacterial,Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134),GH10,WP_013118238.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013118238.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013118238.1&rettype=fasta&retmode=text,downloaded,,829
