uniprot_accession,organism,organism_type,gh_family,structure_source,structure_id,structure_path,template_code,template_identity,template_coverage,foldx_wt_total_energy,foldx_energy_per_residue,structure_exists,standardized_structure_path,standardization_status,structure_source_normalized,structure_source_priority,usable_structure_path,usable_structure_exists,usable_structure_status,structure_manifest_row_id,structure_file_format,n_atom_records,n_hetatm_records,n_model_records,stage3_standardized_structure_path,stage3_standardization_status,stage3_copy_mode,stage3_copy_operation,stage3_standardization_error
A5IL00,Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1),bacterial,GH10,pdb,3NIY_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/3NIY.cif,,,,-112.52,-0.3451533742331288,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A5IL00_pdb_3NIY_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A5IL00_pdb_3NIY_A_Repair.pdb,True,available,structure_000150,pdb,5452,661,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/A5IL00_pdb_3NIY_A_Repair.pdb,standardized_available,copy,skipped_existing,
A5IL00,Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1),bacterial,GH10,pdb,3NJ3_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/3NJ3.cif,,,,-100.93,-0.30865443425076455,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A5IL00_pdb_3NJ3_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A5IL00_pdb_3NJ3_A_Repair.pdb,True,available,structure_000151,pdb,5455,403,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/A5IL00_pdb_3NJ3_A_Repair.pdb,standardized_available,copy,skipped_existing,
B4XVN1,Streptomyces sp,bacterial,GH10,pdb,3WUB_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/3WUB.cif,,,,-35.35,-0.11293929712460064,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUB_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUB_A_Repair.pdb,True,available,structure_000164,pdb,2442,322,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/B4XVN1_pdb_3WUB_A_Repair.pdb,standardized_available,copy,skipped_existing,
B4XVN1,Streptomyces sp,bacterial,GH10,pdb,3WUE_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/3WUE.cif,,,,-45.39,-0.14548076923076922,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUE_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUE_A_Repair.pdb,True,available,structure_000165,pdb,2433,260,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/B4XVN1_pdb_3WUE_A_Repair.pdb,standardized_available,copy,skipped_existing,
B4XVN1,Streptomyces sp,bacterial,GH10,pdb,3WUF_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/3WUF.cif,,,,-45.3,-0.14472843450479234,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUF_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUF_A_Repair.pdb,True,available,structure_000166,pdb,2447,401,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/B4XVN1_pdb_3WUF_A_Repair.pdb,standardized_available,copy,skipped_existing,
B4XVN1,Streptomyces sp,bacterial,GH10,pdb,3WUG_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/3WUG.cif,,,,-57.35,-0.18381410256410258,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUG_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUG_A_Repair.pdb,True,available,structure_000167,pdb,2438,361,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/B4XVN1_pdb_3WUG_A_Repair.pdb,standardized_available,copy,skipped_existing,
B9MMA5,Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320) (Anaerocellum thermophilum),bacterial,GH10,pdb,4L4O_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/4L4O.cif,,,,-69.61,-0.21093939393939393,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9MMA5_pdb_4L4O_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9MMA5_pdb_4L4O_A_Repair.pdb,True,available,structure_000173,pdb,2776,95,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/B9MMA5_pdb_4L4O_A_Repair.pdb,standardized_available,copy,skipped_existing,
B9MMA5,Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320) (Anaerocellum thermophilum),bacterial,GH10,pdb,4L4P_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/4L4P.cif,,,,-72.67,-0.2215548780487805,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9MMA5_pdb_4L4P_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9MMA5_pdb_4L4P_A_Repair.pdb,True,available,structure_000174,pdb,2762,166,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/B9MMA5_pdb_4L4P_A_Repair.pdb,standardized_available,copy,skipped_existing,
B9MMA5,Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320) (Anaerocellum thermophilum),bacterial,GH10,pdb,4PMD_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/4PMD.cif,,,,-86.3,-0.2623100303951368,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9MMA5_pdb_4PMD_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9MMA5_pdb_4PMD_A_Repair.pdb,True,available,structure_000175,pdb,2778,160,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/B9MMA5_pdb_4PMD_A_Repair.pdb,standardized_available,copy,skipped_existing,
C3VEV9,Penicillium canescens,fungal,GH10,pdb,4F8X_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/4F8X.cif,,,,-67.05,-0.20014925373134326,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C3VEV9_pdb_4F8X_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C3VEV9_pdb_4F8X_A_Repair.pdb,True,available,structure_000171,pdb,2627,442,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/C3VEV9_pdb_4F8X_A_Repair.pdb,standardized_available,copy,skipped_existing,
