pdb_id,file_path,chosen_chain,chain_length,file_type,hbond_proxy_count,salt_bridge_count,disulfide_count,sasa_total,uniprot_accession,organism_type,organism,xref_cazy,gh_family,pdb_tag,foldx_wt_total_energy,foldx_energy_per_residue
1AXK,/home/ubuntu/xylanase-thesis/data/raw/pdb/1AXK.cif,B,394,cif,1530.0,39.0,1.0,13915.446073963496,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,1AXK_B_Repair,-3.72,-0.009441624365482234
1B30,/home/ubuntu/xylanase-thesis/data/raw/pdb/1B30.cif,A,301,cif,1709.0,51.0,1.0,5647.781215824348,P56588,fungal,Penicillium simplicissimum,GH10;,GH10,1B30_A_Repair,-40.57,-0.1347840531561462
1B31,/home/ubuntu/xylanase-thesis/data/raw/pdb/1B31.cif,A,301,cif,1942.0,52.0,1.0,4215.242699767354,P56588,fungal,Penicillium simplicissimum,GH10;,GH10,1B31_A_Repair,-51.55,-0.17126245847176078
1B3V,/home/ubuntu/xylanase-thesis/data/raw/pdb/1B3V.cif,A,301,cif,1623.0,52.0,1.0,5996.19380623935,P56588,fungal,Penicillium simplicissimum,GH10;,GH10,1B3V_A_Repair,-20.78,-0.06903654485049834
1B3W,/home/ubuntu/xylanase-thesis/data/raw/pdb/1B3W.cif,A,301,cif,1631.0,46.0,1.0,6284.691839087054,P56588,fungal,Penicillium simplicissimum,GH10;,GH10,1B3W_A_Repair,-24.7,-0.08205980066445183
1B3X,/home/ubuntu/xylanase-thesis/data/raw/pdb/1B3X.cif,A,301,cif,1802.0,52.0,1.0,4855.484944340079,P56588,fungal,Penicillium simplicissimum,GH10;,GH10,1B3X_A_Repair,-33.21,-0.11033222591362127
1B3Y,/home/ubuntu/xylanase-thesis/data/raw/pdb/1B3Y.cif,A,301,cif,1726.0,52.0,1.0,5487.863669403536,P56588,fungal,Penicillium simplicissimum,GH10;,GH10,1B3Y_A_Repair,-29.45,-0.09784053156146179
1B3Z,/home/ubuntu/xylanase-thesis/data/raw/pdb/1B3Z.cif,A,301,cif,1899.0,52.0,1.0,4281.140332578823,P56588,fungal,Penicillium simplicissimum,GH10;,GH10,1B3Z_A_Repair,-34.68,-0.11521594684385382
1BCX,/home/ubuntu/xylanase-thesis/data/raw/pdb/1BCX.cif,A,185,cif,884.0,9.0,0.0,4570.084019193992,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,1BCX_A_Repair,-7.14,-0.03859459459459459
1BG4,/home/ubuntu/xylanase-thesis/data/raw/pdb/1BG4.cif,A,301,cif,1888.0,47.0,1.0,3915.182764007607,P56588,fungal,Penicillium simplicissimum,GH10;,GH10,1BG4_A_Repair,31.27,0.10388704318936877
1BK1,/home/ubuntu/xylanase-thesis/data/raw/pdb/1BK1.cif,A,182,cif,826.0,9.0,1.0,5005.503168946617,P33557,fungal,Aspergillus kawachii (strain NBRC 4308) (White koji mold) (Aspergillus awamori var. kawachi),GH11;,GH11,1BK1_A_Repair,18.64,0.10241758241758242
1BVV,/home/ubuntu/xylanase-thesis/data/raw/pdb/1BVV.cif,A,185,cif,805.0,9.0,0.0,5103.691636715262,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,1BVV_A_Repair,5.57,0.03010810810810811
1C5H,/home/ubuntu/xylanase-thesis/data/raw/pdb/1C5H.cif,A,185,cif,885.0,11.0,0.0,4412.118130660552,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,1C5H_A_Repair,2.53,0.013675675675675675
1C5I,/home/ubuntu/xylanase-thesis/data/raw/pdb/1C5I.cif,A,185,cif,844.0,10.0,0.0,4609.063631636301,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,1C5I_A_Repair,4.42,0.023891891891891892
1CLX,/home/ubuntu/xylanase-thesis/data/raw/pdb/1CLX.cif,A,345,cif,1916.0,76.0,1.0,7955.501031902772,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1CLX_A_Repair,-4.6,-0.013333333333333332
