uniprot_accession,organism,organism_type,gh_family,has_usable_structure,n_structure_entries,structure_sources,best_structure_source,best_structure_id,best_structure_path,best_standardization_status
P96988,Rhodothermus marinus (Rhodothermus obamensis),bacterial,GH10,True,2,pdb,pdb,1K42_A_Repair,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/P96988_pdb_1K42_A_Repair.pdb,standardized
Q5J6R9,Aspergillus flavus,fungal,GH10,False,0,,,,,
Q7SI98,Streptomyces olivaceoviridis (Streptomyces corchorusii),bacterial,GH10,True,22,pdb,pdb,1ISV_A_Repair,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q7SI98_pdb_1ISV_A_Repair.pdb,standardized
Q9UW04,Didymella rabiei (Chickpea ascochyta blight fungus) (Mycosphaerella rabiei),fungal,GH11,True,1,modeller,modeller,Q9UW04_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9UW04_modeller_Q9UW04_modeller.pdb,standardized
Q7SID8,Bacillus subtilis,bacterial,GH11,True,1,pdb,pdb,1IGO_A_Repair,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q7SID8_pdb_1IGO_A_Repair.pdb,standardized
Q49UB8,Piromyces sp. RRY-2002,fungal,GH11,True,1,modeller,modeller,Q49UB8_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q49UB8_modeller_Q49UB8_modeller.pdb,standardized
B8YQ34,Neocallimastix sp. GMLF2,fungal,GH11,True,1,modeller,modeller,B8YQ34_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B8YQ34_modeller_B8YQ34_modeller.pdb,standardized
Q9EW89,Streptomyces olivaceoviridis (Streptomyces corchorusii),bacterial,GH11,True,1,modeller,modeller,Q9EW89_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9EW89_modeller_Q9EW89_modeller.pdb,standardized
A4K8J7,Streptomyces olivaceoviridis (Streptomyces corchorusii),bacterial,GH11,True,1,modeller,modeller,A4K8J7_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A4K8J7_modeller_A4K8J7_modeller.pdb,standardized
Q45VU9,Paenibacillus polymyxa (Bacillus polymyxa),bacterial,GH11,True,1,modeller,modeller,Q45VU9_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q45VU9_modeller_Q45VU9_modeller.pdb,standardized
Q84IG0,Pseudomonas sp. PE2,bacterial,GH10,True,1,modeller,modeller,Q84IG0_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q84IG0_modeller_Q84IG0_modeller.pdb,standardized
A1XM14,Cellulomonas flavigena,bacterial,GH10,False,0,,,,,
Q5K098,Orpinomyces sp. OUS1,fungal,GH10,True,1,modeller,modeller,Q5K098_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q5K098_modeller_Q5K098_modeller.pdb,standardized
Q9UVZ4,Gaeumannomyces avenae (Oat take-all root rot fungus) (Gaeumannomyces graminis var. avenae),fungal,GH11,True,1,modeller,modeller,Q9UVZ4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9UVZ4_modeller_Q9UVZ4_modeller.pdb,standardized
Q9HEN3,Curvularia spicifera,fungal,GH11,True,1,modeller,modeller,Q9HEN3_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9HEN3_modeller_Q9HEN3_modeller.pdb,standardized
Q9HEN7,Cochliobolus heterostrophus (Southern corn leaf blight fungus) (Bipolaris maydis),fungal,GH11,True,1,modeller,modeller,Q9HEN7_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9HEN7_modeller_Q9HEN7_modeller.pdb,standardized
Q9HEP2,Bipolaris sorghicola,fungal,GH11,True,1,modeller,modeller,Q9HEP2_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9HEP2_modeller_Q9HEP2_modeller.pdb,standardized
Q9HEN6,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),fungal,GH11,True,1,modeller,modeller,Q9HEN6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9HEN6_modeller_Q9HEN6_modeller.pdb,standardized
Q9HEN4,Curvularia spicifera,fungal,GH11,True,1,modeller,modeller,Q9HEN4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9HEN4_modeller_Q9HEN4_modeller.pdb,standardized
Q9HDL7,Cochliobolus heterostrophus (Southern corn leaf blight fungus) (Bipolaris maydis),fungal,GH11,True,1,modeller,modeller,Q9HDL7_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9HDL7_modeller_Q9HDL7_modeller.pdb,standardized
Q9HEN5,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),fungal,GH11,True,1,modeller,modeller,Q9HEN5_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9HEN5_modeller_Q9HEN5_modeller.pdb,standardized
P81536,Byssochlamys spectabilis (Paecilomyces variotii),fungal,GH11,True,1,pdb,pdb,1PVX_A_Repair,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/P81536_pdb_1PVX_A_Repair.pdb,standardized
Q704N9,Pseudobutyrivibrio xylanivorans,bacterial,GH11,True,1,modeller,modeller,Q704N9_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q704N9_modeller_Q704N9_modeller.pdb,standardized
Q704P0,Pseudobutyrivibrio xylanivorans,bacterial,GH11,True,1,modeller,modeller,Q704P0_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q704P0_modeller_Q704P0_modeller.pdb,standardized
E0YTQ6,Bacillus subtilis,bacterial,GH11,True,1,modeller,modeller,E0YTQ6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E0YTQ6_modeller_E0YTQ6_modeller.pdb,standardized
P84195,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,False,0,,,,,
Q9AJR9,Acidobacterium capsulatum,bacterial,GH10,True,1,modeller,modeller,Q9AJR9_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9AJR9_modeller_Q9AJR9_modeller.pdb,standardized
Q47871,Eubacterium ruminantium,bacterial,GH10,True,1,modeller,modeller,Q47871_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q47871_modeller_Q47871_modeller.pdb,standardized
B0C274,Acaryochloris marina (strain MBIC 11017),bacterial,GH10,True,1,modeller,modeller,B0C274_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B0C274_modeller_B0C274_modeller.pdb,standardized
D1BKV8,Sanguibacter keddieii (strain ATCC 51767 / DSM 10542 / NCFB 3025 / ST-74),bacterial,GH10,True,1,modeller,modeller,D1BKV8_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D1BKV8_modeller_D1BKV8_modeller.pdb,standardized
E4N6Z2,Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae),bacterial,GH10,True,1,modeller,modeller,E4N6Z2_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4N6Z2_modeller_E4N6Z2_modeller.pdb,standardized
B0T4M1,Caulobacter sp. (strain K31),bacterial,GH10,True,1,modeller,modeller,B0T4M1_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B0T4M1_modeller_B0T4M1_modeller.pdb,standardized
Q5KQS0,Pseudomonas sp. ND137,bacterial,GH10,True,1,modeller,modeller,Q5KQS0_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q5KQS0_modeller_Q5KQS0_modeller.pdb,standardized
E4S4K4,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),bacterial,GH10,True,1,modeller,modeller,E4S4K4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S4K4_modeller_E4S4K4_modeller.pdb,standardized
E4QDJ6,Caldicellulosiruptor hydrothermalis (strain DSM 18901 / VKM B-2411 / 108),bacterial,GH10,True,1,modeller,modeller,E4QDJ6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4QDJ6_modeller_E4QDJ6_modeller.pdb,standardized
C1F8L6,Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161),bacterial,GH10,True,1,modeller,modeller,C1F8L6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C1F8L6_modeller_C1F8L6_modeller.pdb,standardized
Q59922,Streptomyces halstedii,bacterial,GH10,True,1,pdb,pdb,1NQ6_A_Repair,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q59922_pdb_1NQ6_A_Repair.pdb,standardized
C5BQU7,Teredinibacter turnerae (strain ATCC 39867 / T7901),bacterial,GH11,True,1,modeller,modeller,C5BQU7_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C5BQU7_modeller_C5BQU7_modeller.pdb,standardized
Q89T09,Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),bacterial,GH10,True,1,modeller,modeller,Q89T09_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q89T09_modeller_Q89T09_modeller.pdb,standardized
D5VIA7,Caulobacter segnis (strain ATCC 21756 / DSM 7131 / JCM 7823 / NBRC 15250 / LMG 17158 / TK0059) (Mycoplana segnis),bacterial,GH10,True,1,modeller,modeller,D5VIA7_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D5VIA7_modeller_D5VIA7_modeller.pdb,standardized
E4N0N4,Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae),bacterial,GH11,True,1,modeller,modeller,E4N0N4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4N0N4_modeller_E4N0N4_modeller.pdb,standardized
B2BZ80,Cellulosimicrobium sp. HY-12,bacterial,GH10,True,1,modeller,modeller,B2BZ80_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B2BZ80_modeller_B2BZ80_modeller.pdb,standardized
Q8DHP3,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1),bacterial,GH10,True,1,modeller,modeller,Q8DHP3_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q8DHP3_modeller_Q8DHP3_modeller.pdb,standardized
B8HDP0,Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus),bacterial,GH10,True,1,modeller,modeller,B8HDP0_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B8HDP0_modeller_B8HDP0_modeller.pdb,standardized
Q96UV7,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),fungal,GH11,True,1,modeller,modeller,Q96UV7_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q96UV7_modeller_Q96UV7_modeller.pdb,standardized
A4XM50,Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331),bacterial,GH10,True,1,modeller,modeller,A4XM50_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A4XM50_modeller_A4XM50_modeller.pdb,standardized
B9K775,Thermotoga neapolitana (strain ATCC 49049 / DSM 4359 / NBRC 107923 / NS-E),bacterial,GH10,True,1,modeller,modeller,B9K775_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9K775_modeller_B9K775_modeller.pdb,standardized
P45703,Geobacillus stearothermophilus (Bacillus stearothermophilus),bacterial,GH10,True,1,modeller,modeller,P45703_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/P45703_modeller_P45703_modeller.pdb,standardized
O52375,Caldicellulosiruptor sp. Rt69B.1,bacterial,GH11,True,1,modeller,modeller,O52375_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O52375_modeller_O52375_modeller.pdb,standardized
B0SWF4,Caulobacter sp. (strain K31),bacterial,GH10,True,1,modeller,modeller,B0SWF4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B0SWF4_modeller_B0SWF4_modeller.pdb,standardized
C7Q386,Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908),bacterial,GH10,True,1,modeller,modeller,C7Q386_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C7Q386_modeller_C7Q386_modeller.pdb,standardized
Q8L2X3,Bacillus pumilus (Bacillus mesentericus),bacterial,GH10,True,1,modeller,modeller,Q8L2X3_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q8L2X3_modeller_Q8L2X3_modeller.pdb,standardized
E2IHA1,Bacillus pumilus (Bacillus mesentericus),bacterial,GH11,True,1,modeller,modeller,E2IHA1_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E2IHA1_modeller_E2IHA1_modeller.pdb,standardized
D5KTJ5,Cohnella laeviribosi,bacterial,GH10,True,1,modeller,modeller,D5KTJ5_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D5KTJ5_modeller_D5KTJ5_modeller.pdb,standardized
D5UL25,Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134),bacterial,GH10,True,1,modeller,modeller,D5UL25_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D5UL25_modeller_D5UL25_modeller.pdb,standardized
A4XG17,Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331),bacterial,GH10,True,1,modeller,modeller,A4XG17_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A4XG17_modeller_A4XG17_modeller.pdb,standardized
E4SHW9,Caldicellulosiruptor kronotskyensis (strain DSM 18902 / VKM B-2412 / 2002),bacterial,GH10,True,1,modeller,modeller,E4SHW9_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4SHW9_modeller_E4SHW9_modeller.pdb,standardized
B9MPZ4,Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320) (Anaerocellum thermophilum),bacterial,GH10,True,1,modeller,modeller,B9MPZ4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9MPZ4_modeller_B9MPZ4_modeller.pdb,standardized
B8E346,Dictyoglomus turgidum (strain DSM 6724 / Z-1310),bacterial,GH10,True,1,modeller,modeller,B8E346_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B8E346_modeller_B8E346_modeller.pdb,standardized
C0M1B6,Flavobacterium sp. LW53,bacterial,GH10,True,1,modeller,modeller,C0M1B6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C0M1B6_modeller_C0M1B6_modeller.pdb,standardized
B2ADU0,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina),fungal,GH10,True,1,modeller,modeller,B2ADU0_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B2ADU0_modeller_B2ADU0_modeller.pdb,standardized
D1BXQ6,Xylanimonas cellulosilytica (strain DSM 15894 / JCM 12276 / CECT 5975 / KCTC 9989 / LMG 20990 / NBRC 107835 / XIL07),bacterial,GH10,True,1,modeller,modeller,D1BXQ6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D1BXQ6_modeller_D1BXQ6_modeller.pdb,standardized
A9KQ55,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),bacterial,GH10,True,1,modeller,modeller,A9KQ55_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A9KQ55_modeller_A9KQ55_modeller.pdb,standardized
A9KJ12,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),bacterial,GH10,True,1,modeller,modeller,A9KJ12_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A9KJ12_modeller_A9KJ12_modeller.pdb,standardized
D0MH05,Rhodothermus marinus (strain ATCC 43812 / DSM 4252 / R-10) (Rhodothermus obamensis),bacterial,GH10,True,1,modeller,modeller,D0MH05_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D0MH05_modeller_D0MH05_modeller.pdb,standardized
Q3MDD9,Trichormus variabilis (strain ATCC 29413 / PCC 7937) (Anabaena variabilis),bacterial,GH10,True,1,modeller,modeller,Q3MDD9_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q3MDD9_modeller_Q3MDD9_modeller.pdb,standardized
Q1XGE6,Paenibacillus sp. W-61,bacterial,GH11,True,1,modeller,modeller,Q1XGE6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q1XGE6_modeller_Q1XGE6_modeller.pdb,standardized
Q43993,Aeromonas caviae (Aeromonas punctata),bacterial,GH11,True,1,modeller,modeller,Q43993_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q43993_modeller_Q43993_modeller.pdb,standardized
A7Z9N2,Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum),bacterial,GH11,True,1,modeller,modeller,A7Z9N2_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A7Z9N2_modeller_A7Z9N2_modeller.pdb,standardized
Q8RMN8,Niallia circulans (Bacillus circulans),bacterial,GH11,True,1,modeller,modeller,Q8RMN8_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q8RMN8_modeller_Q8RMN8_modeller.pdb,standardized
Q3HLJ4,Bacillus subtilis,bacterial,GH11,True,1,modeller,modeller,Q3HLJ4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q3HLJ4_modeller_Q3HLJ4_modeller.pdb,standardized
Q45VU5,Brevibacillus brevis (Bacillus brevis),bacterial,GH11,True,1,modeller,modeller,Q45VU5_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q45VU5_modeller_Q45VU5_modeller.pdb,standardized
P09850,Niallia circulans (Bacillus circulans),bacterial,GH11,True,30,pdb,pdb,1BCX_A_Repair,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/P09850_pdb_1BCX_A_Repair.pdb,standardized
C6F1T5,Bacillus subtilis,bacterial,GH11,True,1,modeller,modeller,C6F1T5_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C6F1T5_modeller_C6F1T5_modeller.pdb,standardized
B9ZZN9,Bacillus subtilis,bacterial,GH11,True,1,modeller,modeller,B9ZZN9_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B9ZZN9_modeller_B9ZZN9_modeller.pdb,standardized
C5MTD6,Bacillus sp. YJ6,bacterial,GH11,True,1,modeller,modeller,C5MTD6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C5MTD6_modeller_C5MTD6_modeller.pdb,standardized
Q45VU6,Bacillus amyloliquefaciens (Bacillus velezensis),bacterial,GH11,True,1,modeller,modeller,Q45VU6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q45VU6_modeller_Q45VU6_modeller.pdb,standardized
